ID,paid_late_fees,debt_to_income,credit_utilization_ratio,annual_income,average_age_of_credit,loan_to_income_ratio,employment_stability,credit_inquiries_trend,monthly_payment_burden,paid_principal,paid_interest,total_credit_limit,total_credit_utilized,balance
1,0,18.01,0.547595169,90000,71.46428571,0.311111111,0.5,6,0.087004,984.14,1015.19,70795,38767,27015.86
3,0,21.15,0.661348324,40000,64.70967742,0.05,0.5,4,0.02142,175.37,106.43,24193,16000,1824.63
9,0,36.48,0.245633674,65000,57.08571429,0.307692308,1,3,0.125460923,1843.34,859.88,283190,69561,18156.66
11,0,10.45,0.580605077,75000,90.72727273,0.333333333,1,4,0.0952448,856.49,908.46,39433,22895,24143.51
13,0,12.06,0.165602729,122000,62.1875,0.131147541,1,8,0.053475738,1474.7,730.18,263800,43686,14525.3
14,0,3.67,0.055352711,88000,30.52307692,0.193181818,1,6,0.048608182,673.87,386.6,259915,14387,16326.13
18,0,20.33,0.932712057,72000,167.1666667,0.416666667,0.5,6,0.157858333,1201.92,3485.96,58911,54947,28798.08
20,0,18.44,0.071119005,83000,182.2727273,0.240963855,0.5,1,0.068866988,20000,653.72,555154,39482,0
25,0,17.31,1.057348109,82000,76.88461538,0.097560976,1,1,0.036665854,596.39,148.18,65425,69177,7403.61
27,0,13.68,0.635864506,55000,118.4117647,0.181818182,0.5,7,0.072447273,567.72,183.07,41891,26637,9432.28
32,0,24.9,0.644714164,245000,54.10810811,0.163265306,0.5,1,0.041089469,2121.85,1212.81,772243,497876,37878.15
33,0,36.75,0.209264449,50000,63.93548387,0.38,1,0,0.1183656,785.98,1136.56,246210,51523,18214.02
34,0,28.3,0.455054542,80000,74.22222222,0.35,0.5,0,0.112188,830.41,1349.91,250359,113927,27169.59
38,0,17.06,0.082370638,70000,94.66666667,0.342857143,1,2,0.097966286,544.73,558.1,363649,29954,23455.27
43,0,14.82,0.58802704,77000,68.17241379,0.454545455,1,0,0.129907013,1608.39,1667.36,74852,44015,33391.61
46,0,10.71,0.143271662,76300,66,0.196592398,1,4,0.072541022,1907.44,387.56,185068,26515,13092.56
50,0,17.24,0.494718432,88000,51.38461538,0.113636364,1,2,0.044270455,963.73,329.08,404236,199983,9036.27
53,0,9.12,0.460465928,127000,183,0.275590551,0.5,0,0.07876252,1603.99,1701.03,74518,34313,33396.01
61,0,12.15,0.222057258,50000,74.33333333,0.5,1,8,0.1934064,3044.9,970.61,97664,21687,21955.1
64,0,28.13,0.196179337,114000,71.46428571,0.175438596,1,1,0.049063158,702.98,664.05,451597,88594,19297.02
66,0,15.42,0.116390087,69000,54.13513514,0.289855072,0,0,0.104732174,1547.96,252.77,291176,33890,18452.04
70,0,3.7,0.424736842,25000,328.6666667,0.2,0,1,0.0804288,587.1,241.94,1900,807,4412.9
72,0,16.26,0.344347225,31000,62.78125,0.483870968,0,2,0.194581935,1761.26,741.57,43430,14955,13238.74
81,0,18.39,0.181658061,77000,181.9090909,0.38961039,0,3,0.17145039,2557.6,1811.24,174300,31663,27442.4
82,0,27.23,0.415759585,72000,95.28571429,0.097222222,0.5,7,0.039096667,821.92,341.16,158659,65964,6178.08
87,0,21.09,0.254345849,152000,45.47727273,0.263157895,1,5,0.072809211,2400,2150.85,476029,121076,37600
89,0,13.77,0.486594319,32000,95.42857143,0.15625,1,1,0.0628275,348.63,150.49,37596,18294,4651.37
90,0,9.61,0.847541051,78000,95.04761905,0.08974359,1,3,0.033727692,521.84,132.75,48354,40982,6478.16
92,0,5.16,0.06095279,147000,182.2727273,0.204081633,1,6,0.059568163,663.32,769.42,386381,23551,29336.68
100,0,49.58,0.657800432,23000,64.32258065,0.652173913,1,2,0.207344348,604.55,968.42,44927,29553,14395.45
101,0,13.27,0.92137457,66000,180.9090909,0.16969697,1,0,0.070641818,1011.08,524.31,65475,60327,10188.92
103,0,18.5,0.114001973,101000,48.90243902,0.198019802,0,2,0.072234059,496.32,1268.1,343573,39168,19503.68
105,0,19.05,0.298213264,61000,48.73170732,0.118032787,1,9,0.048127869,663.61,339.46,141543,42210,6536.39
112,0,29.58,0.111772214,55000,66.53333333,0.283636364,1,0,0.103669091,2000.72,369.76,245213,27408,13599.28
114,0,13.49,0.70657612,95000,111.0555556,0.105263158,1,2,0.041008421,963.73,323.29,66559,47029,9036.27
116,0,1.12,0.196366906,250000,166.6666667,0.12,0.5,0,0.047076,1422.93,502.24,27800,5459,28577.07
118,0,25.23,0.536173114,42000,86.91304348,0.476190476,1,1,0.191465714,1394.44,587.93,55732,29882,18605.56
122,0,15.3,0.616255144,63000,91,0.158730159,0.5,3,0.066984762,663.29,369.47,33048,20366,9336.71
126,0,9.19,0.120847004,230000,99.9,0.052173913,1,2,0.020470957,1148.59,413.58,441037,53298,10851.41
129,0,11.62,0.390408135,110000,133.7333333,0.077272727,0.5,6,0.028776,639.26,148.61,50939,19887,7860.74
131,0,14.66,0.298295619,145000,69.06896552,0.275862069,1,0,0.101790621,4057.81,832.2,206996,61746,35942.19
139,0,6.06,0.618053571,182000,74.25925926,0.175824176,0.5,2,0.049181538,2214.02,1951.73,56000,34611,29785.98
142,0,33.19,0.749950715,31200,111.5,0.070512821,0.5,2,0.030207692,192.91,111.85,40580,30433,2007.09
145,0,22.88,0.519415909,100000,104.7894737,0.35,1,2,0.140748,4109.62,1730.34,96081,49906,30890.38
148,0,18.65,0.457218785,89000,100.05,0.220224719,0.5,0,0.07958427,2539.2,406.26,114770,52475,17060.8
149,0,27.08,0.159419738,50000,100.25,0.52,0.5,2,0.1718112,740.71,1343.81,288973,46068,25259.29
152,0,18.88,0.707950661,57000,57.4,0.206140351,0.5,3,0.061597895,511.81,663.95,97124,68759,11238.19
156,0,0.33,0.433008432,97000,182.5454545,0.360824742,0.5,2,0.152247835,2321.84,1307.91,25854,11195,32678.16
159,0,12.89,0.16701529,115000,62.0625,0.347826087,1,2,0.099385043,1370.35,1453.55,527790,88149,38629.65
160,0,9.92,0.062752478,80000,69.06896552,0.15,0.5,3,0.055341,910.59,191.76,322553,20241,11089.41
162,0,27.06,0.471595985,60000,87.13043478,0.166666667,1,2,0.06642,1184.35,519.45,94036,44347,8815.65
163,0,13.3,0.497891374,50000,95.61904762,0.2,0,1,0.0815496,921.67,429.94,31300,15584,9078.33
165,0,0.54,0.000165635,75000,118,0.32,1,4,0.0823856,1559.4,980.42,253569,42,22440.6
166,0,16.72,0.129079286,182000,143.0714286,0.21978022,1,0,0.082609451,3988.49,987.73,604303,78003,36011.51
171,0,5.96,0.74139366,60000,166.1666667,0.25,1,0,0.06993,706.92,679.95,13217,9799,14293.08
172,0,22.49,0.44844712,100000,51.17948718,0.36,0.5,2,0.0974556,2213.72,1821.69,220075,98692,33786.28
176,0,21.3,0.470204371,52000,105.6315789,0.288461538,0.5,1,0.080688462,888.87,847.65,73249,34442,14111.13
177,0,8.63,0.917379438,68250,51.25641026,0.197802198,0.5,0,0.057747692,604.84,684.89,98559,90416,12895.16
