ID,paid_late_fees,debt_to_income,credit_utilization_ratio,annual_income,average_age_of_credit,loan_to_income_ratio,employment_stability,credit_inquiries_trend,monthly_payment_burden,paid_principal,paid_interest,total_credit_limit,total_credit_utilized,target
1,0,18.01,0.547595169,90000,71.46428571,0.311111111,0.5,6,0.087004,984.14,1015.19,70795,38767,1
3,0,21.15,0.661348324,40000,64.70967742,0.05,0.5,4,0.02142,175.37,106.43,24193,16000,0
9,0,36.48,0.245633674,65000,57.08571429,0.307692308,1,3,0.125460923,1843.34,859.88,283190,69561,1
11,0,10.45,0.580605077,75000,90.72727273,0.333333333,1,4,0.0952448,856.49,908.46,39433,22895,1
13,0,12.06,0.165602729,122000,62.1875,0.131147541,1,8,0.053475738,1474.7,730.18,263800,43686,0
14,0,3.67,0.055352711,88000,30.52307692,0.193181818,1,6,0.048608182,673.87,386.6,259915,14387,1
18,0,20.33,0.932712057,72000,167.1666667,0.416666667,0.5,6,0.157858333,1201.92,3485.96,58911,54947,0
20,0,18.44,0.071119005,83000,182.2727273,0.240963855,0.5,1,0.068866988,20000,653.72,555154,39482,1
25,0,17.31,1.057348109,82000,76.88461538,0.097560976,1,1,0.036665854,596.39,148.18,65425,69177,0
27,0,13.68,0.635864506,55000,118.4117647,0.181818182,0.5,7,0.072447273,567.72,183.07,41891,26637,0
32,0,24.9,0.644714164,245000,54.10810811,0.163265306,0.5,1,0.041089469,2121.85,1212.81,772243,497876,0
33,0,36.75,0.209264449,50000,63.93548387,0.38,1,0,0.1183656,785.98,1136.56,246210,51523,1
34,0,28.3,0.455054542,80000,74.22222222,0.35,0.5,0,0.112188,830.41,1349.91,250359,113927,1
38,0,17.06,0.082370638,70000,94.66666667,0.342857143,1,2,0.097966286,544.73,558.1,363649,29954,1
43,0,14.82,0.58802704,77000,68.17241379,0.454545455,1,0,0.129907013,1608.39,1667.36,74852,44015,0
46,0,10.71,0.143271662,76300,66,0.196592398,1,4,0.072541022,1907.44,387.56,185068,26515,1
50,0,17.24,0.494718432,88000,51.38461538,0.113636364,1,2,0.044270455,963.73,329.08,404236,199983,1
53,0,9.12,0.460465928,127000,183,0.275590551,0.5,0,0.07876252,1603.99,1701.03,74518,34313,1
61,0,12.15,0.222057258,50000,74.33333333,0.5,1,8,0.1934064,3044.9,970.61,97664,21687,0
64,0,28.13,0.196179337,114000,71.46428571,0.175438596,1,1,0.049063158,702.98,664.05,451597,88594,1
66,0,15.42,0.116390087,69000,54.13513514,0.289855072,0,0,0.104732174,1547.96,252.77,291176,33890,0
70,0,3.7,0.424736842,25000,328.6666667,0.2,0,1,0.0804288,587.1,241.94,1900,807,0
72,0,16.26,0.344347225,31000,62.78125,0.483870968,0,2,0.194581935,1761.26,741.57,43430,14955,0
81,0,18.39,0.181658061,77000,181.9090909,0.38961039,0,3,0.17145039,2557.6,1811.24,174300,31663,0
82,0,27.23,0.415759585,72000,95.28571429,0.097222222,0.5,7,0.039096667,821.92,341.16,158659,65964,0
87,0,21.09,0.254345849,152000,45.47727273,0.263157895,1,5,0.072809211,2400,2150.85,476029,121076,1
